 Waveform Sampling 
 
 Durata: 12324
 Numero di punti 500
 Tempo di campionamento (in microsecondi 24.65
 
139 , 1822 , 2.09 , 3426.07
140 , 1838 , 2.11 , 3450.72
141 , 1852 , 2.13 , 3475.37
142 , 1869 , 2.15 , 3500.02
143 , 1878 , 2.16 , 3524.66
144 , 1899 , 2.18 , 3549.31
145 , 1913 , 2.20 , 3573.96
146 , 1934 , 2.22 , 3598.61
147 , 1943 , 2.23 , 3623.26
148 , 1957 , 2.25 , 3647.90
149 , 1984 , 2.28 , 3672.55
150 , 1996 , 2.29 , 3697.20
151 , 2010 , 2.31 , 3721.85
152 , 2024 , 2.32 , 3746.50
153 , 2044 , 2.35 , 3771.14
154 , 2060 , 2.36 , 3795.79
155 , 2070 , 2.38 , 3820.44
156 , 2087 , 2.40 , 3845.09
157 , 2105 , 2.42 , 3869.74
158 , 2121 , 2.43 , 3894.38
159 , 2132 , 2.45 , 3919.03
160 , 2151 , 2.47 , 3943.68
161 , 2163 , 2.48 , 3968.33
162 , 2183 , 2.51 , 3992.98
163 , 2202 , 2.53 , 4017.62
164 , 2214 , 2.54 , 4042.27
165 , 2226 , 2.55 , 4066.92
166 , 2243 , 2.57 , 4091.57
167 , 2262 , 2.60 , 4116.22
168 , 2274 , 2.61 , 4140.86
169 , 2293 , 2.63 , 4165.51
170 , 2310 , 2.65 , 4190.16
171 , 2328 , 2.67 , 4214.81
172 , 2339 , 2.68 , 4239.46
173 , 2351 , 2.70 , 4264.10
174 , 2373 , 2.72 , 4288.75
175 , 2390 , 2.74 , 4313.40
176 , 2408 , 2.76 , 4338.05
177 , 2420 , 2.78 , 4362.70
178 , 2443 , 2.80 , 4387.34
179 , 2442 , 2.80 , 4411.99
180 , 2463 , 2.83 , 4436.64
181 , 2485 , 2.85 , 4461.29
182 , 2501 , 2.87 , 4485.94
183 , 2517 , 2.89 , 4510.58
184 , 2526 , 2.90 , 4535.23
185 , 2545 , 2.92 , 4559.88
186 , 2554 , 2.93 , 4584.53
187 , 2574 , 2.95 , 4609.18
188 , 2595 , 2.98 , 4633.82
189 , 2609 , 2.99 , 4658.47
190 , 2619 , 3.01 , 4683.12
191 , 2635 , 3.02 , 4707.77
192 , 2659 , 3.05 , 4732.42
193 , 2668 , 3.06 , 4757.06
194 , 2689 , 3.09 , 4781.71
195 , 2704 , 3.10 , 4806.36
196 , 2716 , 3.12 , 4831.01
197 , 2735 , 3.14 , 4855.66
198 , 2719 , 3.12 , 4880.30
199 , 2710 , 3.11 , 4904.95
200 , 2689 , 3.09 , 4929.60
201 , 2674 , 3.07 , 4954.25
202 , 2659 , 3.05 , 4978.90
203 , 2649 , 3.04 , 5003.54
204 , 2626 , 3.01 , 5028.19
205 , 2614 , 3.00 , 5052.84
206 , 2602 , 2.99 , 5077.49
207 , 2582 , 2.96 , 5102.14
208 , 2563 , 2.94 , 5126.78
209 , 2558 , 2.94 , 5151.43
210 , 2534 , 2.91 , 5176.08
211 , 2514 , 2.89 , 5200.73
212 , 2502 , 2.87 , 5225.38
213 , 2492 , 2.86 , 5250.02
214 , 2472 , 2.84 , 5274.67
215 , 2457 , 2.82 , 5299.32
216 , 2439 , 2.80 , 5323.97
217 , 2426 , 2.78 , 5348.62
218 , 2402 , 2.76 , 5373.26
219 , 2397 , 2.75 , 5397.91
220 , 2371 , 2.72 , 5422.56
221 , 2363 , 2.71 , 5447.21
222 , 2347 , 2.69 , 5471.86
223 , 2328 , 2.67 , 5496.50
224 , 2312 , 2.65 , 5521.15
225 , 2304 , 2.64 , 5545.80
226 , 2288 , 2.63 , 5570.45
227 , 2269 , 2.60 , 5595.10
228 , 2249 , 2.58 , 5619.74
229 , 2237 , 2.57 , 5644.39
230 , 2215 , 2.54 , 5669.04
231 , 2207 , 2.53 , 5693.69
232 , 2190 , 2.51 , 5718.34
233 , 2169 , 2.49 , 5742.98
234 , 2161 , 2.48 , 5767.63
235 , 2141 , 2.46 , 5792.28
236 , 2124 , 2.44 , 5816.93
237 , 2114 , 2.43 , 5841.58
238 , 2091 , 2.40 , 5866.22
239 , 2085 , 2.39 , 5890.87
240 , 2064 , 2.37 , 5915.52
241 , 2048 , 2.35 , 5940.17
242 , 2037 , 2.34 , 5964.82
243 , 2018 , 2.32 , 5989.46
244 , 1999 , 2.29 , 6014.11
245 , 1984 , 2.28 , 6038.76
246 , 1971 , 2.26 , 6063.41
247 , 1956 , 2.24 , 6088.06
248 , 1940 , 2.23 , 6112.70
249 , 1924 , 2.21 , 6137.35
250 , 1909 , 2.19 , 6162.00
251 , 1887 , 2.17 , 6186.65
252 , 1874 , 2.15 , 6211.30
253 , 1861 , 2.14 , 6235.94
254 , 1842 , 2.11 , 6260.59
255 , 1831 , 2.10 , 6285.24
256 , 1815 , 2.08 , 6309.89
257 , 1797 , 2.06 , 6334.54
258 , 1782 , 2.05 , 6359.18
259 , 1768 , 2.03 , 6383.83
260 , 1750 , 2.01 , 6408.48
261 , 1735 , 1.99 , 6433.13
262 , 1719 , 1.97 , 6457.78
263 , 1699 , 1.95 , 6482.42
264 , 1697 , 1.95 , 6507.07
265 , 1678 , 1.93 , 6531.72
266 , 1692 , 1.94 , 6556.37
267 , 1707 , 1.96 , 6581.02
268 , 1719 , 1.97 , 6605.66
269 , 1737 , 1.99 , 6630.31
270 , 1754 , 2.01 , 6654.96
271 , 1774 , 2.04 , 6679.61
272 , 1785 , 2.05 , 6704.26
273 , 1801 , 2.07 , 6728.90
274 , 1821 , 2.09 , 6753.55
275 , 1835 , 2.11 , 6778.20
276 , 1845 , 2.12 , 6802.85
277 , 1864 , 2.14 , 6827.50
278 , 1882 , 2.16 , 6852.14
279 , 1893 , 2.17 , 6876.79
280 , 1908 , 2.19 , 6901.44
281 , 1928 , 2.21 , 6926.09
282 , 1941 , 2.23 , 6950.74
283 , 1958 , 2.25 , 6975.38
284 , 1972 , 2.26 , 7000.03
285 , 1987 , 2.28 , 7024.68
286 , 2005 , 2.30 , 7049.33
287 , 2022 , 2.32 , 7073.98
288 , 2039 , 2.34 , 7098.62
289 , 2055 , 2.36 , 7123.27
290 , 2069 , 2.37 , 7147.92
291 , 2076 , 2.38 , 7172.57
292 , 2097 , 2.41 , 7197.22
293 , 2114 , 2.43 , 7221.86
294 , 2130 , 2.44 , 7246.51
295 , 2144 , 2.46 , 7271.16
296 , 2158 , 2.48 , 7295.81
297 , 2180 , 2.50 , 7320.46
298 , 2195 , 2.52 , 7345.10
299 , 2211 , 2.54 , 7369.75
300 , 2223 , 2.55 , 7394.40
301 , 2236 , 2.57 , 7419.05
302 , 2253 , 2.59 , 7443.70
303 , 2270 , 2.61 , 7468.34
304 , 2285 , 2.62 , 7492.99
305 , 2310 , 2.65 , 7517.64
306 , 2325 , 2.67 , 7542.29
307 , 2329 , 2.67 , 7566.94
308 , 2343 , 2.69 , 7591.58
309 , 2367 , 2.72 , 7616.23
310 , 2383 , 2.74 , 7640.88
311 , 2405 , 2.76 , 7665.53
312 , 2419 , 2.78 , 7690.18
313 , 2434 , 2.79 , 7714.82
314 , 2444 , 2.81 , 7739.47
315 , 2468 , 2.83 , 7764.12
316 , 2483 , 2.85 , 7788.77
317 , 2498 , 2.87 , 7813.42
318 , 2505 , 2.88 , 7838.06
319 , 2523 , 2.90 , 7862.71
320 , 2538 , 2.91 , 7887.36
321 , 2557 , 2.93 , 7912.01
322 , 2572 , 2.95 , 7936.66
323 , 2587 , 2.97 , 7961.30
324 , 2595 , 2.98 , 7985.95
325 , 2623 , 3.01 , 8010.60
326 , 2628 , 3.02 , 8035.25
327 , 2653 , 3.04 , 8059.90
328 , 2665 , 3.06 , 8084.54
329 , 2677 , 3.07 , 8109.19
330 , 2697 , 3.10 , 8133.84
331 , 2709 , 3.11 , 8158.49
332 , 2725 , 3.13 , 8183.14
333 , 2730 , 3.13 , 8207.78
